
,,,Measures,"Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities"
"January","2016","Straight and level","Overcast, cloudy but no precipitation",911,1647,2262,1203,6
"January","2016","Straight and level","Raining",493,846,1320,679,8
"January","2016","Straight and level","Snowing, not including drifting snow",950,1689,2354,1230,10
"January","2016","Straight and level","Freezing rain, sleet, hail",46,66,112,56,1
"January","2016","Straight and level","Visibility limitation",193,310,456,253,4
"January","2016","Straight and level","Strong wind",43,66,93,58,2
"January","2016","Straight and level","Other",14,27,38,22,0
"January","2016","Straight and level","Unknown",88,151,222,113,1
"January","2016","Straight with gradient","Clear and sunny",466,838,1186,634,12
"January","2016","Straight with gradient","Overcast, cloudy but no precipitation",154,277,405,214,1
"January","2016","Straight with gradient","Raining",85,165,230,121,0
"January","2016","Straight with gradient","Snowing, not including drifting snow",129,211,336,180,1
"January","2016","Straight with gradient","Freezing rain, sleet, hail",12,20,30,18,0
"January","2016","Straight with gradient","Visibility limitation",33,73,94,50,0
"January","2016","Straight with gradient","Strong wind",5,9,19,9,0
"January","2016","Straight with gradient","Other",0,0,0,0,0
"January","2016","Straight with gradient","Unknown",6,11,16,10,0
"January","2016","Curved and level","Clear and sunny",374,595,871,495,7
"January","2016","Curved and level","Overcast, cloudy but no precipitation",141,211,306,200,5
"January","2016","Curved and level","Raining",45,59,95,57,2
"January","2016","Curved and level","Snowing, not including drifting snow",173,248,349,223,3
"January","2016","Curved and level","Freezing rain, sleet, hail",9,12,18,9,0
"January","2016","Curved and level","Visibility limitation",42,57,74,49,5
"January","2016","Curved and level","Strong wind",10,14,20,13,0
"January","2016","Curved and level","Other",1,1,1,1,0
"January","2016","Curved and level","Unknown",12,19,22,13,0
"January","2016","Curved with gradient","Clear and sunny",158,235,321,194,2
"January","2016","Curved with gradient","Overcast, cloudy but no precipitation",88,123,191,109,2
"January","2016","Curved with gradient","Raining",40,55,89,55,2
"January","2016","Curved with gradient","Snowing, not including drifting snow",95,133,206,141,2
"January","2016","Curved with gradient","Freezing rain, sleet, hail",11,18,25,15,0
"January","2016","Curved with gradient","Visibility limitation",9,13,17,9,0
"January","2016","Curved with gradient","Strong wind",3,3,3,3,0
"January","2016","Curved with gradient","Other",2,3,4,2,0
"January","2016","Curved with gradient","Unknown",3,4,6,3,0
"January","2016","Top of hill or gradient","Clear and sunny",54,99,143,72,2
"January","2016","Top of hill or gradient","Overcast, cloudy but no precipitation",34,61,79,43,0
"January","2016","Top of hill or gradient","Raining",4,6,7,4,0
"January","2016","Top of hill or gradient","Snowing, not including drifting snow",22,48,69,29,1
"January","2016","Top of hill or gradient","Freezing rain, sleet, hail",1,2,2,1,0
"January","2016","Top of hill or gradient","Visibility limitation",5,10,16,7,0
"January","2016","Top of hill or gradient","Strong wind",2,4,4,2,0
"January","2016","Top of hill or gradient","Other",0,0,0,0,0
"January","2016","Top of hill or gradient","Unknown",1,2,2,1,0
"January","2016","Bottom of hill or gradient","Clear and sunny",37,59,77,45,3
"January","2016","Bottom of hill or gradient","Overcast, cloudy but no precipitation",17,28,40,23,0
"January","2016","Bottom of hill or gradient","Raining",4,6,6,5,0
"January","2016","Bottom of hill or gradient","Snowing, not including drifting snow",29,37,55,40,0
"January","2016","Bottom of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"January","2016","Bottom of hill or gradient","Visibility limitation",4,7,10,4,0
"January","2016","Bottom of hill or gradient","Strong wind",1,1,1,1,0
"January","2016","Bottom of hill or gradient","Other",0,0,0,0,0
"January","2016","Bottom of hill or gradient","Unknown",2,3,3,2,0
"January","2016","Other","Clear and sunny",11,18,26,18,0
"January","2016","Other","Overcast, cloudy but no precipitation",4,8,8,4,0
"January","2016","Other","Raining",0,0,0,0,0
"January","2016","Other","Snowing, not including drifting snow",2,4,4,3,0
"January","2016","Other","Freezing rain, sleet, hail",0,0,0,0,0
"January","2016","Other","Visibility limitation",0,0,0,0,0
"January","2016","Other","Strong wind",0,0,0,0,0
"January","2016","Other","Other",0,0,0,0,0
"January","2016","Other","Unknown",4,6,10,4,0
"January","2016","Unknown","Clear and sunny",373,700,1006,462,2
"January","2016","Unknown","Overcast, cloudy but no precipitation",21,35,46,22,0
"January","2016","Unknown","Raining",15,27,43,23,0
"January","2016","Unknown","Snowing, not including drifting snow",65,128,187,76,0
"January","2016","Unknown","Freezing rain, sleet, hail",1,1,2,1,0
"January","2016","Unknown","Visibility limitation",5,8,10,5,0
"January","2016","Unknown","Strong wind",2,3,3,2,0
"January","2016","Unknown","Other",2,3,4,2,0
"January","2016","Unknown","Unknown",32,50,67,36,0
"January","2017","Straight and level","Clear and sunny",3866,7117,9893,5141,32
"January","2017","Straight and level","Overcast, cloudy but no precipitation",742,1343,1836,947,9
"January","2017","Straight and level","Raining",453,814,1178,578,5
"January","2017","Straight and level","Snowing, not including drifting snow",771,1373,1924,1039,6
"January","2017","Straight and level","Freezing rain, sleet, hail",161,259,344,182,0
"January","2017","Straight and level","Visibility limitation",239,426,594,324,9
"January","2017","Straight and level","Strong wind",57,104,161,73,0
"January","2017","Straight and level","Other",11,14,19,15,0
"January","2017","Straight and level","Unknown",83,148,197,98,0
"January","2017","Straight with gradient","Clear and sunny",420,785,1156,579,8
"January","2017","Straight with gradient","Overcast, cloudy but no precipitation",112,202,301,151,4
"January","2017","Straight with gradient","Raining",69,113,171,94,1
"January","2017","Straight with gradient","Snowing, not including drifting snow",106,189,279,142,2
"January","2017","Straight with gradient","Freezing rain, sleet, hail",31,58,72,39,0
"January","2017","Straight with gradient","Visibility limitation",26,48,74,35,2
"January","2017","Straight with gradient","Strong wind",6,15,20,13,0
"January","2017","Straight with gradient","Other",2,4,5,3,0
"January","2017","Straight with gradient","Unknown",5,8,12,8,0
"January","2017","Curved and level","Clear and sunny",378,593,796,461,12
"January","2017","Curved and level","Overcast, cloudy but no precipitation",120,182,251,163,0
"January","2017","Curved and level","Raining",49,79,113,59,4
"January","2017","Curved and level","Snowing, not including drifting snow",133,180,267,170,1
"January","2017","Curved and level","Freezing rain, sleet, hail",40,63,76,49,0
"January","2017","Curved and level","Visibility limitation",38,56,66,42,1
"January","2017","Curved and level","Strong wind",7,12,17,7,0
"January","2017","Curved and level","Other",1,2,3,1,0
"January","2017","Curved and level","Unknown",11,18,23,12,0
"January","2017","Curved with gradient","Clear and sunny",156,228,347,207,4
"January","2017","Curved with gradient","Overcast, cloudy but no precipitation",74,119,176,101,3
"January","2017","Curved with gradient","Raining",30,44,65,40,2
"January","2017","Curved with gradient","Snowing, not including drifting snow",74,119,172,87,4
"January","2017","Curved with gradient","Freezing rain, sleet, hail",21,30,38,25,0
"January","2017","Curved with gradient","Visibility limitation",9,15,19,13,1
"January","2017","Curved with gradient","Strong wind",4,6,7,5,0
"January","2017","Curved with gradient","Other",1,2,4,4,0
"January","2017","Curved with gradient","Unknown",1,1,1,1,0
"January","2017","Top of hill or gradient","Clear and sunny",46,74,106,59,1
"January","2017","Top of hill or gradient","Overcast, cloudy but no precipitation",17,34,46,20,1
"January","2017","Top of hill or gradient","Raining",5,10,15,6,0
"January","2017","Top of hill or gradient","Snowing, not including drifting snow",16,30,43,27,1
"January","2017","Top of hill or gradient","Freezing rain, sleet, hail",3,5,6,4,0
"January","2017","Top of hill or gradient","Visibility limitation",6,9,11,9,0
"January","2017","Top of hill or gradient","Strong wind",3,5,5,3,0
"January","2017","Top of hill or gradient","Other",0,0,0,0,0
"January","2017","Top of hill or gradient","Unknown",2,6,6,2,0
"January","2017","Bottom of hill or gradient","Clear and sunny",38,67,95,48,2
"January","2017","Bottom of hill or gradient","Overcast, cloudy but no precipitation",30,51,68,42,0
"January","2017","Bottom of hill or gradient","Raining",11,17,21,14,0
"January","2017","Bottom of hill or gradient","Snowing, not including drifting snow",27,40,63,37,2
"January","2017","Bottom of hill or gradient","Freezing rain, sleet, hail",1,2,3,1,0
"January","2017","Bottom of hill or gradient","Visibility limitation",7,11,15,9,0
"January","2017","Bottom of hill or gradient","Strong wind",3,4,6,3,0
"January","2017","Bottom of hill or gradient","Other",0,0,0,0,0
"January","2017","Bottom of hill or gradient","Unknown",0,0,0,0,0
"January","2017","Other","Clear and sunny",7,9,12,9,0
"January","2017","Other","Overcast, cloudy but no precipitation",3,4,8,5,0
"January","2017","Other","Raining",0,0,0,0,0
"January","2017","Other","Snowing, not including drifting snow",1,3,4,1,0
"January","2017","Other","Freezing rain, sleet, hail",0,0,0,0,0
"January","2017","Other","Visibility limitation",2,2,3,2,0
"January","2017","Other","Strong wind",0,0,0,0,0
"January","2017","Other","Other",2,3,3,2,0
"January","2017","Other","Unknown",4,8,16,11,0
"January","2017","Unknown","Clear and sunny",331,623,863,409,2
"January","2017","Unknown","Overcast, cloudy but no precipitation",11,17,29,12,1
"January","2017","Unknown","Raining",8,16,22,10,0
"January","2017","Unknown","Snowing, not including drifting snow",44,79,101,53,0
"January","2017","Unknown","Freezing rain, sleet, hail",2,4,4,2,0
"January","2017","Unknown","Visibility limitation",6,8,10,8,0
"January","2017","Unknown","Strong wind",4,7,7,5,0
"January","2017","Unknown","Other",1,1,2,1,0
"January","2017","Unknown","Unknown",57,98,124,74,0
"January","2018","Straight and level","Clear and sunny",4180,7696,10783,5602,48
"January","2018","Straight and level","Overcast, cloudy but no precipitation",822,1487,2043,1098,6
"January","2018","Straight and level","Raining",511,833,1277,660,4
"January","2018","Straight and level","Snowing, not including drifting snow",1053,1924,2723,1390,13
"January","2018","Straight and level","Freezing rain, sleet, hail",119,192,269,155,0
"January","2018","Straight and level","Visibility limitation",303,589,852,427,9
"January","2018","Straight and level","Strong wind",76,126,165,91,1
"January","2018","Straight and level","Other",9,17,25,14,0
"January","2018","Straight and level","Unknown",100,175,247,135,0
"January","2018","Straight with gradient","Clear and sunny",368,681,999,523,5
"January","2018","Straight with gradient","Overcast, cloudy but no precipitation",161,294,414,223,3
"January","2018","Straight with gradient","Raining",115,216,301,154,1
"January","2018","Straight with gradient","Snowing, not including drifting snow",141,250,338,184,3
"January","2018","Straight with gradient","Freezing rain, sleet, hail",21,34,45,28,0
"January","2018","Straight with gradient","Visibility limitation",42,69,92,59,0
"January","2018","Straight with gradient","Strong wind",6,10,12,7,0
"January","2018","Straight with gradient","Other",2,2,3,1,1
"January","2018","Straight with gradient","Unknown",7,13,18,9,0
"January","2018","Curved and level","Clear and sunny",371,577,777,483,14
"January","2018","Curved and level","Overcast, cloudy but no precipitation",95,147,201,123,0
"January","2018","Curved and level","Raining",54,82,121,70,3
"January","2018","Curved and level","Snowing, not including drifting snow",145,223,329,178,6
"January","2018","Curved and level","Freezing rain, sleet, hail",20,31,45,29,0
"January","2018","Curved and level","Visibility limitation",39,77,97,63,0
"January","2018","Curved and level","Strong wind",6,9,9,6,0
"January","2018","Curved and level","Other",4,6,6,5,0
"January","2018","Curved and level","Unknown",8,11,19,8,0
"January","2018","Curved with gradient","Clear and sunny",147,214,325,177,11
"January","2018","Curved with gradient","Overcast, cloudy but no precipitation",75,115,175,99,4
"January","2018","Curved with gradient","Raining",50,82,125,76,0
"January","2018","Curved with gradient","Snowing, not including drifting snow",87,123,189,110,1
"January","2018","Curved with gradient","Freezing rain, sleet, hail",15,22,34,20,0
"January","2018","Curved with gradient","Visibility limitation",14,18,34,20,0
"January","2018","Curved with gradient","Strong wind",3,3,3,3,0
"January","2018","Curved with gradient","Other",3,5,6,5,0
